Date,Open,High,Low,Close,AdjClose,Volume
7/23/2012,21.228571,21.639286,20.989643,21.565357,18.257217,487975600
7/24/2012,21.692142,21.774286,21.375357,21.46143,18.169228,565132400
7/25/2012,20.51643,20.742857,20.357143,20.534643,17.384619,877312800
7/26/2012,20.705713,20.728571,20.370001,20.531429,17.381891,406632800
7/27/2012,20.536072,20.922501,20.413929,20.898571,17.692717,403936400
7/30/2012,21.104286,21.408571,20.99357,21.251072,17.991146,379142400
7/31/2012,21.543928,21.84643,21.525715,21.812857,18.466757,462327600
8/1/2012,21.996786,22.014286,21.535713,21.671785,18.347321,384501600
8/2/2012,21.530001,21.810356,21.4375,21.706785,18.376955,332158400
8/3/2012,21.915358,22.070715,21.841429,21.989286,18.616119,344920800
8/6/2012,22.04607,22.316786,21.973572,22.233929,18.823236,302103200
8/7/2012,22.241785,22.321428,22.072857,22.175358,18.773645,290446800
8/8/2012,22.121071,22.281429,22.039286,22.137857,18.741894,244706000
8/9/2012,22.066071,22.204643,22.064285,22.168928,18.848782,221642400
8/10/2012,22.096786,22.205713,22.09643,22.203571,18.878239,194938800
8/13/2012,22.263929,22.5,22.258928,22.5,19.130276,278832400
8/14/2012,22.566786,22.807501,22.5075,22.560356,19.181585,340169200
8/15/2012,22.546429,22.642857,22.419643,22.529642,19.155476,257342400
8/16/2012,22.543215,22.741428,22.517857,22.726429,19.322796,254534000
8/17/2012,22.857143,23.149643,22.814644,23.146786,19.680187,442761200
8/20/2012,23.214643,23.755358,23.210714,23.755358,20.197622,613384800
8/21/2012,23.957857,24.102858,23.22607,23.430714,19.921597,812719600
8/22/2012,23.372143,23.892857,23.146786,23.888214,20.310579,565322800
8/23/2012,23.789642,23.924999,23.612499,23.665358,20.121096,420128800
8/24/2012,23.553928,23.91,23.4125,23.686428,20.139013,437340400
8/27/2012,24.285357,24.316786,24.055,24.13143,20.517368,427008400
8/28/2012,24.106428,24.146429,23.952499,24.1,20.49065,267416800
8/29/2012,24.116072,24.202499,24.021429,24.0525,20.450264,202806800
8/30/2012,23.951429,23.983929,23.673214,23.709642,20.158754,302699600
8/31/2012,23.830357,23.878571,23.473213,23.758572,20.200352,338321200
9/4/2012,23.777143,24.112143,23.732143,24.106071,20.495806,367892000
9/5/2012,24.127501,24.155357,23.914286,23.936787,20.351881,336375200
9/6/2012,24.041786,24.224644,23.957144,24.1525,20.535286,391196400
9/7/2012,24.21607,24.374287,24.134644,24.30143,20.661909,329666400
9/10/2012,24.301786,24.403214,23.646429,23.669287,20.124443,487998000
9/11/2012,23.753929,23.932142,23.446428,23.592501,20.059155,503983200
9/12/2012,23.816071,23.924999,23.428572,23.92107,20.338516,712233200
9/13/2012,24.191786,24.482143,24.098928,24.392143,20.739037,598360000
9/14/2012,24.64143,24.892143,24.567499,24.688572,20.991066,600474000
9/17/2012,24.976786,24.992857,24.807501,24.992144,21.249178,398031200
9/18/2012,24.995714,25.083214,24.872143,25.068214,21.313858,373503200
9/19/2012,25.009287,25.1425,24.984644,25.075001,21.31963,326874800
9/20/2012,24.969999,25.002144,24.772142,24.953571,21.216383,336568400
9/21/2012,25.086071,25.18107,24.977142,25.003214,21.258589,571589200
9/24/2012,24.530714,24.825714,24.392857,24.67107,20.9762,639766400
9/25/2012,24.580713,24.742144,24.035713,24.055,20.452391,518789600
9/26/2012,23.883572,24.024643,23.614286,23.75643,20.19853,576503200
9/27/2012,23.724644,24.363214,23.583929,24.332857,20.688631,594090000
9/28/2012,24.241072,24.325357,23.8125,23.825001,20.256828,535110800
10/1/2012,23.969999,24.169643,23.446428,23.549643,20.022713,543594800
10/2/2012,23.63607,23.798214,23.237499,23.618214,20.08102,627992400
10/3/2012,23.745001,23.995001,23.665358,23.980356,20.38892,424281200
10/4/2012,23.973213,24.080357,23.769644,23.814285,20.247726,370725600
10/5/2012,23.757143,23.785713,23.26,23.306786,19.816229,594006000
10/8/2012,23.102858,23.127144,22.718214,22.791786,19.378351,637994000
10/9/2012,22.808929,22.874643,22.269644,22.708929,19.307911,838597200
10/10/2012,22.847857,23.035,22.75,22.889643,19.461561,510356000
10/11/2012,23.089287,23.114286,22.432142,22.432142,19.072571,546081200
10/12/2012,22.484285,22.692142,22.332144,22.489643,19.121466,460014800
10/15/2012,22.583929,22.683214,22.280357,22.67,19.274811,432502000
10/16/2012,22.691786,23.225,22.535713,23.206785,19.731207,549771600
10/17/2012,23.173929,23.313929,23,23.021786,19.573912,389037600
10/18/2012,22.842501,22.930714,22.5,22.594286,19.21044,476624400
10/19/2012,22.5375,22.563213,21.772142,21.780001,18.518106,744086000
10/22/2012,21.872143,22.692142,21.812857,22.643929,19.252644,546730800
10/23/2012,22.535713,22.639286,21.84643,21.905714,18.624992,707145600
10/24/2012,22.194286,22.376785,21.808571,22.029642,18.730356,558527200
10/25/2012,22.142857,22.214287,21.626785,21.769285,18.508993,656325600
10/26/2012,21.765356,21.928572,21.107143,21.571428,18.340763,1018432800
10/31/2012,21.245714,21.498571,20.989286,21.261429,18.0772,510003200
11/1/2012,21.365,21.535713,21.220358,21.305,18.11425,361298000
11/2/2012,21.281786,21.319643,20.526787,20.6,17.514826,599373600
11/5/2012,20.84,20.991785,20.628571,20.879286,17.752287,529135600
11/6/2012,21.079643,21.097857,20.717501,20.816071,17.698538,374917200
11/7/2012,20.494286,20.519285,19.848213,19.928572,17.021341,793648800
11/8/2012,20.022499,20.079643,19.1175,19.205357,16.403639,1056146000
11/9/2012,19.300714,19.817142,19.061428,19.537857,16.68763,929913600
11/12/2012,19.791071,19.803572,19.237499,19.386786,16.558598,515802000
11/13/2012,19.246786,19.66,19.155714,19.389286,16.560732,532949200
11/14/2012,19.482143,19.551786,19.149286,19.174286,16.377104,477170400
11/15/2012,19.1975,19.267857,18.665001,18.772142,16.033623,789910800
11/16/2012,18.757143,18.928572,18.0625,18.845715,16.096457,1266893600
11/19/2012,19.311071,20.267857,19.281429,20.204643,17.257141,823317600
11/20/2012,20.425358,20.426786,19.806429,20.032499,17.110113,642754000
11/21/2012,20.151787,20.263214,19.878571,20.060715,17.134214,373002000
11/23/2012,20.256071,20.428572,20.092857,20.410713,17.433149,272826400
11/26/2012,20.567858,21.071428,20.489643,21.054644,17.98315,630579600
11/27/2012,21.055357,21.08643,20.717857,20.885,17.838249,533330000
11/28/2012,20.616785,20.921429,20.437857,20.819286,17.782122,520864400
11/29/2012,21.079287,21.223213,20.901787,21.048571,17.977957,514698800
11/30/2012,20.956785,21.014286,20.809999,20.902857,17.853502,391319600
12/3/2012,21.201786,21.235357,20.910713,20.935356,17.881258,364280000
12/4/2012,20.77857,20.77857,20.433214,20.566071,17.565842,557068400
12/5/2012,20.318214,20.330357,19.241785,19.2425,16.435366,1044638000
12/6/2012,18.890715,19.76107,18.522499,19.544287,16.693127,1177212400
12/7/2012,19.764286,19.828571,18.928572,19.044643,16.266373,787040800
12/10/2012,18.75,19.2325,18.627857,18.922144,16.161743,630484400
12/11/2012,19.2775,19.627144,19.191786,19.335358,16.514671,592345600
12/12/2012,19.563213,19.571428,19.1525,19.25,16.441771,487144000
12/13/2012,18.969643,19.201429,18.77857,18.9175,16.157772,625259600
12/14/2012,18.383928,18.504642,18.056429,18.206785,15.550735,1009579200
12/17/2012,18.176071,18.571428,17.901072,18.529642,15.826495,757607200
12/18/2012,18.75,19.103571,18.580357,19.067858,16.286198,625685200
12/19/2012,18.981071,19.060715,18.767857,18.796785,16.054663,449369200
12/20/2012,18.928572,18.935715,18.531429,18.633215,15.914959,481689600
12/21/2012,18.3025,18.559643,18.222857,18.547501,15.841745,596268400
12/24/2012,18.583929,18.723213,18.525356,18.577499,15.86737,175753200
12/26/2012,18.535713,18.552143,18.254286,18.321428,15.648655,302436400
12/27/2012,18.340714,18.4375,18.023571,18.395,15.711489,455120400
12/28/2012,18.224644,18.374287,18.147142,18.199642,15.544642,354278400
12/31/2012,18.233213,19.121429,18.178572,19.006071,16.233423,659492400
1/2/2013,19.779285,19.821428,19.343929,19.608213,16.747723,560518000
1/3/2013,19.567142,19.631071,19.321428,19.360714,16.53632,352965200
1/4/2013,19.1775,19.236786,18.779642,18.821428,16.075712,594333600
1/7/2013,18.642857,18.90357,18.4,18.710714,15.981153,484156400
1/8/2013,18.900356,18.996071,18.616072,18.76107,16.024164,458707200
